"section_id","initial_discharge_m3s","initial_water_level_m"
"1","1.0","33.477"
"2","1.0","33.41"
"2_sec2_0","0.0","33.41"
"20","0.0","33.391"
"21","2.0","33.376"
"22","1.0","33.332"
"23","0.0","33.314"
"24","0.0","33.292"
"25","0.0","33.232"
"26","0.0","33.165"
"27","0.0","33.131"
"28","0.0","33.121"
"29","0.0","33.113"
"30","0.0","33.106"
"31","0.0","33.099"
"32","0.0","33.094"
"33","0.0","33.09"
"34","0.0","33.088"
"35","0.0","33.085"
"36","0.0","33.078"
"37","0.0","33.073"
"38","0.0","33.065"
"39","0.0","33.057"
"40","0.0","33.049"
"41","0.0","33.046"
"42","0.0","33.043"
"43","0.0","33.041"
"44","0.0","33.039"
"45","0.0","33.037"
"46","0.0","33.034"
"47","0.0","33.031"
"48","0.0","33.028"
"49","0.0","33.027"
"50","0.0","33.026"
"51","0.0","33.025"
"52","0.0","33.024"
"53","0.0","33.023"
"54","0.0","33.022"
"55","0.0","33.021"
"56","0.0","33.021"
"57","0.0","33.02"
"58","0.0","33.02"
"59","0.0","33.019"
"60","0.0","33.018"
"61","0.0","33.018"
"62","0.0","33.018"
"63","0.0","33.017"
"64","0.0","33.017"
"65","0.0","33.017"
"66","0.0","33.017"
"67","0.0","33.017"
"68","0.0","33.016"
"69","0.0","33.016"
"3","0.0","33.016"
"3_sec3_0","0.0","33.016"
"4","0.0","33.016"
"4_sec4_0","3.0","33.016"
"70","1.0","32.995"
"71","0.0","32.98"
"72","0.0","32.961"
"73","4.0","32.942"
"74","1.0","32.924"
"75","0.0","32.9"
"76","0.0","32.891"
"77","0.0","32.878"
"78","0.0","32.857"
"79","0.0","32.847"
"80","0.0","32.829"
"5","0.0","32.817"
"6","0.0","34.769"
"81","0.0","34.745"
"82","0.0","34.732"
"83","5.0","34.715"
"7","1.0","34.705"
"7_sec6_0","0.0","34.705"
"8","0.0","34.691"
"8_sec7_0","6.0","34.691"
"84","1.0","34.625"
"85","0.0","34.559"
"86","0.0","34.501"
"87","7.0","34.417"
"88","1.0","34.357"
"89","0.0","34.298"
"90","0.0","34.265"
"91","0.0","34.239"
"9","0.0","34.021"
"9_sec8_0","8.0","34.021"
"92","1.0","33.995"
"93","0.0","33.971"
"94","0.0","33.929"
"95","0.0","33.867"
"96","0.0","33.81"
"97","0.0","33.758"
"98","0.0","33.733"
"99","0.0","33.689"
"100","0.0","33.629"
"101","0.0","33.583"
"102","0.0","33.554"
"103","0.0","33.479"
"104","0.0","33.479"
"10","0.0","33.475"
"9_sec9_0","9.0","34.021"
"11","1.0","33.979"
"11_sec10_0","0.0","33.979"
"105","0.0","33.945"
"106","10.0","33.925"
"107","1.0","33.894"
"108","0.0","33.866"
"109","0.0","33.841"
"110","0.0","33.813"
"111","0.0","33.781"
"112","0.0","33.761"
"113","0.0","33.744"
"114","0.0","33.719"
"115","0.0","33.656"
"116","0.0","33.619"
"117","0.0","33.599"
"118","0.0","33.551"
"119","0.0","33.514"
"120","0.0","33.487"
"12","0.0","33.478"
"12_sec11_0","11.0","33.478"
"10_sec11_1","1.0","33.475"
"10_sec12_0","0.0","33.475"
"121","0.0","33.442"
"122","12.0","33.417"
"123","1.0","33.384"
"124","0.0","33.343"
"125","0.0","33.322"
"126","0.0","33.303"
"127","0.0","33.274"
"128","0.0","33.255"
"129","0.0","33.235"
"130","0.0","33.199"
"13","0.0","33.172"
"13_sec13_0","0.0","33.172"
"131","0.0","33.155"
"132","13.0","33.142"
"133","1.0","33.127"
"134","0.0","33.112"
"135","0.0","33.099"
"136","0.0","33.081"
"137","0.0","33.074"
"138","0.0","33.064"
"139","0.0","33.048"
"140","0.0","33.04"
"141","0.0","33.026"
"4_sec13_12","0.0","33.016"
"7_sec14_0","0.0","34.705"
"142","0.0","34.702"
"143","0.0","34.699"
"144","14.0","34.695"
"145","1.0","34.69"
"14","0.0","34.685"
"14_sec15_0","15.0","34.685"
"146","1.0","34.68"
"147","0.0","34.674"
"148","0.0","34.671"
"149","0.0","34.666"
"150","0.0","34.66"
"151","0.0","34.656"
"152","0.0","34.652"
"153","0.0","34.648"
"154","0.0","34.644"
"155","0.0","34.642"
"156","0.0","34.64"
"157","0.0","34.636"
"158","0.0","34.631"
"159","0.0","34.628"
"160","0.0","34.625"
"161","0.0","34.622"
"15","0.0","34.62"
"14_sec16_0","16.0","34.685"
"16","1.0","34.681"
"16_sec17_0","0.0","34.681"
"162","0.0","34.674"
"163","17.0","34.669"
"164","1.0","34.663"
"165","0.0","34.659"
"166","0.0","34.656"
"167","0.0","34.653"
"168","0.0","34.65"
"169","0.0","34.647"
"170","0.0","34.643"
"171","0.0","34.642"
"172","0.0","34.641"
"173","0.0","34.638"
"174","0.0","34.634"
"175","0.0","34.63"
"176","0.0","34.628"
"177","0.0","34.625"
"178","0.0","34.624"
"179","0.0","34.623"
"17","0.0","34.621"
"17_sec18_0","18.0","34.621"
"15_sec18_1","1.0","34.62"
"15_sec19_0","0.0","34.62"
"180","0.0","34.524"
"181","19.0","34.353"
"182","1.0","34.2"
"183","0.0","33.967"
"184","0.0","33.819"
"185","0.0","33.622"
"186","0.0","33.44"
"187","0.0","33.418"
"188","0.0","33.388"
"189","0.0","33.266"
"190","0.0","33.235"
"191","0.0","33.162"
"192","0.0","33.072"
"193","0.0","33.057"
"194","0.0","33.036"
"195","0.0","33.007"
"196","0.0","32.995"
"197","0.0","32.979"
"198","0.0","32.962"
"199","0.0","32.947"
"200","0.0","32.931"
"201","0.0","32.906"
"202","0.0","32.878"
"203","0.0","32.827"
"18","0.0","32.817"
"19","20.0","34.782"
"6_sec20_1","1.0","34.769"
