"global_id","model_sec_id","river_id","old_pos_1based","new_pos_1based","reach_name","reach_start_node","reach_end_node","reach_section_count","source_section_name","distance_to_next","roughness","merged_reach_name","merged_local_idx_0based","sheet_name"
"1","1","1","1","1","sec1","1","2","2","sec024001","600.0","0.045","sec1","0","1"
"2","2","1","2","2","sec1","1","2","2","sec024002","0.0","0.045","sec1","1","2"
"3","2","2","1","1","sec2","2","3","52","sec002001","1690.0","0.05","sec2","0","2_sec2_0"
"4","20","2","2","2","sec2","2","3","52","sec002002","2000.0","0.05","sec2","1","20"
"5","21","2","3","3","sec2","2","3","52","sec002003","1270.0","0.05","sec2","2","21"
"6","22","2","4","4","sec2","2","3","52","sec002004","1330.0","0.05","sec2","3","22"
"7","23","2","5","5","sec2","2","3","52","sec002005","1730.0","0.05","sec2","4","23"
"8","24","2","6","6","sec2","2","3","52","sec002006","1840.0","0.05","sec2","5","24"
"9","25","2","7","7","sec2","2","3","52","sec002007","1665.0","0.05","sec2","6","25"
"10","26","2","8","8","sec2","2","3","52","sec002008","1640.0","0.05","sec2","7","26"
"11","27","2","9","9","sec2","2","3","52","sec002009","1240.0","0.05","sec2","8","27"
"12","28","2","10","10","sec2","2","3","52","sec002010","1080.0","0.05","sec2","9","28"
"13","29","2","11","11","sec2","2","3","52","sec002011","1810.0","0.05","sec2","10","29"
"14","30","2","12","12","sec2","2","3","52","sec002012","1650.0","0.05","sec2","11","30"
"15","31","2","13","13","sec2","2","3","52","sec002013","2050.0","0.05","sec2","12","31"
"16","32","2","14","14","sec2","2","3","52","sec002014","1360.0","0.05","sec2","13","32"
"17","33","2","15","15","sec2","2","3","52","sec002015","1170.0","0.05","sec2","14","33"
"18","34","2","16","16","sec2","2","3","52","sec002016","1460.0","0.05","sec2","15","34"
"19","35","2","17","17","sec2","2","3","52","sec002017","1250.0","0.05","sec2","16","35"
"20","36","2","18","18","sec2","2","3","52","sec002018","1200.0","0.05","sec2","17","36"
"21","37","2","19","19","sec2","2","3","52","sec002019","1620.0","0.05","sec2","18","37"
"22","38","2","20","20","sec2","2","3","52","sec002020","1180.0","0.05","sec2","19","38"
"23","39","2","21","21","sec2","2","3","52","sec002021","1300.0","0.05","sec2","20","39"
"24","40","2","22","22","sec2","2","3","52","sec002022","1060.0","0.05","sec2","21","40"
"25","41","2","23","23","sec2","2","3","52","sec002023","1010.0","0.05","sec2","22","41"
"26","42","2","24","24","sec2","2","3","52","sec002024","1070.0","0.05","sec2","23","42"
"27","43","2","25","25","sec2","2","3","52","sec002025","1040.0","0.05","sec2","24","43"
"28","44","2","26","26","sec2","2","3","52","sec002026","1040.0","0.05","sec2","25","44"
"29","45","2","27","27","sec2","2","3","52","sec002027","1070.0","0.05","sec2","26","45"
"30","46","2","28","28","sec2","2","3","52","sec002028","1100.0","0.05","sec2","27","46"
"31","47","2","29","29","sec2","2","3","52","sec002029","1100.0","0.05","sec2","28","47"
"32","48","2","30","30","sec2","2","3","52","sec002030","1130.0","0.05","sec2","29","48"
"33","49","2","31","31","sec2","2","3","52","sec002031","1490.0","0.05","sec2","30","49"
"34","50","2","32","32","sec2","2","3","52","sec002032","1580.0","0.05","sec2","31","50"
"35","51","2","33","33","sec2","2","3","52","sec002033","1530.0","0.05","sec2","32","51"
"36","52","2","34","34","sec2","2","3","52","sec002034","2090.0","0.05","sec2","33","52"
"37","53","2","35","35","sec2","2","3","52","sec002035","1570.0","0.05","sec2","34","53"
"38","54","2","36","36","sec2","2","3","52","sec002036","1490.0","0.05","sec2","35","54"
