"section_id","boundary_type","time_hours","discharge_m3s","water_level_m"
"1","upstream","0.0","1.0","32.3"
"1","upstream","1.0","35.05","33.113"
"1","upstream","2.0","34.53","33.222"
"1","upstream","3.0","34.02","33.31"
"1","upstream","4.0","33.5","33.38"
"1","upstream","5.0","32.98","33.438"
"1","upstream","6.0","32.47","33.485"
"1","upstream","7.0","31.95","33.522"
"1","upstream","8.0","31.43","33.55"
"1","upstream","9.0","30.92","33.573"
"1","upstream","10.0","30.4","33.589"
"1","upstream","11.0","29.88","33.601"
"1","upstream","12.0","29.37","33.61"
"1","upstream","13.0","28.85","33.617"
"1","upstream","14.0","28.33","33.621"
"1","upstream","15.0","27.82","33.624"
"1","upstream","16.0","27.3","33.626"
"1","upstream","17.0","26.78","33.627"
"1","upstream","18.0","26.27","33.626"
"1","upstream","19.0","25.75","33.623"
"1","upstream","20.0","25.23","33.619"
"1","upstream","21.0","24.72","33.613"
"1","upstream","22.0","24.2","33.605"
"1","upstream","23.0","23.83","33.598"
"1","upstream","24.0","23.47","33.59"
"1","upstream","25.0","23.1","33.582"
"1","upstream","26.0","22.73","33.573"
"1","upstream","27.0","22.37","33.563"
"1","upstream","28.0","22.0","33.552"
"1","upstream","29.0","21.63","33.541"
"1","upstream","30.0","21.27","33.529"
"1","upstream","31.0","20.9","33.516"
"1","upstream","32.0","20.53","33.502"
"1","upstream","33.0","20.17","33.488"
"1","upstream","34.0","19.8","33.473"
"1","upstream","35.0","19.43","33.458"
"1","upstream","36.0","19.07","33.441"
"1","upstream","37.0","18.7","33.425"
"1","upstream","38.0","18.33","33.407"
"1","upstream","39.0","17.97","33.39"
"1","upstream","40.0","17.6","33.371"
"1","upstream","41.0","17.23","33.352"
"1","upstream","42.0","16.87","33.333"
"1","upstream","43.0","16.5","33.313"
"1","upstream","44.0","16.13","33.292"
"1","upstream","45.0","15.77","33.272"
"1","upstream","46.0","15.4","33.25"
"1","upstream","47.0","15.24","33.231"
"1","upstream","48.0","15.08","33.214"
"1","upstream","49.0","14.93","33.197"
"1","upstream","50.0","14.77","33.18"
"1","upstream","51.0","14.61","33.165"
"1","upstream","52.0","14.45","33.15"
"1","upstream","53.0","14.29","33.136"
"1","upstream","54.0","14.13","33.121"
"1","upstream","55.0","13.97","33.108"
"1","upstream","56.0","13.82","33.094"
"1","upstream","57.0","13.66","33.081"
"1","upstream","58.0","13.5","33.067"
"1","upstream","59.0","13.34","33.054"
"1","upstream","60.0","13.18","33.041"
"1","upstream","61.0","13.03","33.028"
"1","upstream","62.0","12.87","33.015"
"1","upstream","63.0","12.71","33.002"
"1","upstream","64.0","12.55","32.989"
"1","upstream","65.0","12.39","32.976"
"1","upstream","66.0","12.23","32.963"
"1","upstream","67.0","12.07","32.95"
"1","upstream","68.0","11.92","32.937"
"1","upstream","69.0","11.76","32.924"
"1","upstream","70.0","11.6","32.911"
"1","upstream","71.0","11.49","32.899"
"19","upstream","0.0","0.0","33.605"
"19","upstream","1.0","1186.25","34.216"
"19","upstream","2.0","1178.33","34.263"
"19","upstream","3.0","1170.42","34.329"
"19","upstream","4.0","1162.5","34.383"
"19","upstream","5.0","1154.58","34.447"
"19","upstream","6.0","1146.67","34.506"
"19","upstream","7.0","1138.75","34.56"
"19","upstream","8.0","1130.83","34.61"
"19","upstream","9.0","1122.92","34.655"
"19","upstream","10.0","1115.0","34.694"
"19","upstream","11.0","1107.08","34.73"
"19","upstream","12.0","1099.17","34.763"
"19","upstream","13.0","1091.25","34.792"
"19","upstream","14.0","1083.33","34.819"
"19","upstream","15.0","1075.42","34.844"
"19","upstream","16.0","1067.5","34.865"
"19","upstream","17.0","1059.58","34.884"
"19","upstream","18.0","1051.67","34.9"
"19","upstream","19.0","1043.75","34.915"
"19","upstream","20.0","1035.83","34.928"
"19","upstream","21.0","1027.92","34.939"
"19","upstream","22.0","1020.0","34.949"
"19","upstream","23.0","1014.5","34.959"
"19","upstream","24.0","1009.0","34.967"
"19","upstream","25.0","1003.5","34.975"
"19","upstream","26.0","998.0","34.982"
"19","upstream","27.0","992.5","34.987"
"19","upstream","28.0","987.0","34.992"
"19","upstream","29.0","981.5","34.995"
"19","upstream","30.0","976.0","34.998"
"19","upstream","31.0","970.5","35.0"
"19","upstream","32.0","965.0","35.001"
"19","upstream","33.0","959.5","35.002"
"19","upstream","34.0","954.0","35.002"
"19","upstream","35.0","948.5","35.001"
"19","upstream","36.0","943.0","34.999"
"19","upstream","37.0","937.5","34.997"
"19","upstream","38.0","932.0","34.994"
"19","upstream","39.0","926.5","34.99"
"19","upstream","40.0","921.0","34.986"
"19","upstream","41.0","915.5","34.982"
"19","upstream","42.0","910.0","34.977"
"19","upstream","43.0","904.5","34.971"
"19","upstream","44.0","899.0","34.965"
"19","upstream","45.0","893.5","34.959"
"19","upstream","46.0","888.0","34.952"
"19","upstream","47.0","885.42","34.946"
"19","upstream","48.0","882.83","34.94"
"19","upstream","49.0","880.25","34.935"
"19","upstream","50.0","877.67","34.929"
"19","upstream","51.0","875.08","34.923"
"19","upstream","52.0","872.5","34.917"
"19","upstream","53.0","869.92","34.911"
"19","upstream","54.0","867.33","34.905"
"19","upstream","55.0","864.75","34.899"
"19","upstream","56.0","862.17","34.892"
"19","upstream","57.0","859.58","34.886"
"19","upstream","58.0","857.0","34.879"
"19","upstream","59.0","854.42","34.873"
"19","upstream","60.0","851.83","34.866"
"19","upstream","61.0","849.25","34.86"
"19","upstream","62.0","846.67","34.853"
"19","upstream","63.0","844.08","34.846"
"19","upstream","64.0","841.5","34.84"
"19","upstream","65.0","838.92","34.833"
"19","upstream","66.0","836.33","34.826"
"19","upstream","67.0","833.75","34.819"
"19","upstream","68.0","831.17","34.812"
"19","upstream","69.0","828.58","34.805"
"19","upstream","70.0","826.0","34.798"
"19","upstream","71.0","824.21","34.791"
"5","downstream","0.0","0.0","31.64"
"5","downstream","1.0","-621.11","32.424"
"5","downstream","2.0","-413.95","32.415"
"5","downstream","3.0","-355.058","32.406"
"5","downstream","4.0","-251.753","32.397"
"5","downstream","5.0","-162.032","32.389"
"5","downstream","6.0","-18.046","32.38"
"5","downstream","7.0","135.943","32.371"
"5","downstream","8.0","187.231","32.362"
"5","downstream","9.0","204.83","32.354"
"5","downstream","10.0","221.474","32.345"
"5","downstream","11.0","239.228","32.336"
"5","downstream","12.0","256.609","32.327"
"5","downstream","13.0","273.75","32.319"
"5","downstream","14.0","291.265","32.31"
"5","downstream","15.0","309.289","32.301"
"5","downstream","16.0","326.101","32.292"
"5","downstream","17.0","338.445","32.284"
"5","downstream","18.0","349.327","32.275"
"5","downstream","19.0","359.266","32.266"
"5","downstream","20.0","368.41","32.257"
"5","downstream","21.0","376.987","32.249"
"5","downstream","22.0","385.142","32.24"
"5","downstream","23.0","395.955","32.229"
"5","downstream","24.0","404.569","32.217"
"5","downstream","25.0","412.27","32.206"
"5","downstream","26.0","419.516","32.195"
"5","downstream","27.0","426.012","32.184"
"5","downstream","28.0","432.205","32.173"
"5","downstream","29.0","437.766","32.161"
"5","downstream","30.0","443.114","32.15"
"5","downstream","31.0","447.931","32.139"
"5","downstream","32.0","452.598","32.127"
"5","downstream","33.0","456.76","32.116"
"5","downstream","34.0","460.797","32.105"
"5","downstream","35.0","464.375","32.094"
"5","downstream","36.0","467.86","32.083"
"5","downstream","37.0","471.032","32.071"
"5","downstream","38.0","473.846","32.06"
"5","downstream","39.0","476.61","32.049"
"5","downstream","40.0","478.985","32.037"
"5","downstream","41.0","481.328","32.026"
"5","downstream","42.0","483.314","32.015"
"5","downstream","43.0","485.297","32.004"
"5","downstream","44.0","486.949","31.993"
"5","downstream","45.0","488.6","31.981"
"5","downstream","46.0","489.932","31.97"
"5","downstream","47.0","490.306","31.96"
"5","downstream","48.0","491.042","31.949"
"5","downstream","49.0","491.828","31.939"
"5","downstream","50.0","492.353","31.928"
"5","downstream","51.0","492.836","31.918"
"5","downstream","52.0","493.228","31.908"
"5","downstream","53.0","493.526","31.897"
"5","downstream","54.0","493.739","31.887"
"5","downstream","55.0","493.968","31.876"
"5","downstream","56.0","493.95","31.866"
"5","downstream","57.0","493.908","31.855"
"5","downstream","58.0","493.807","31.845"
"5","downstream","59.0","493.642","31.835"
"5","downstream","60.0","493.42","31.824"
"5","downstream","61.0","493.239","31.814"
"5","downstream","62.0","492.846","31.803"
"5","downstream","63.0","492.454","31.793"
"5","downstream","64.0","492.025","31.783"
"5","downstream","65.0","491.556","31.772"
"5","downstream","66.0","491.054","31.762"
"5","downstream","67.0","490.613","31.751"
"5","downstream","68.0","489.984","31.741"
"5","downstream","69.0","489.371","31.73"
"5","downstream","70.0","488.736","31.72"
"5","downstream","71.0","486.935","31.711"
"18","downstream","0.0","0.0","31.64"
"18","downstream","1.0","-363.942","32.424"
"18","downstream","2.0","-197.532","32.415"
"18","downstream","3.0","161.254","32.406"
"18","downstream","4.0","284.675","32.397"
"18","downstream","5.0","276.437","32.389"
"18","downstream","6.0","277.431","32.38"
"18","downstream","7.0","288.441","32.371"
"18","downstream","8.0","303.163","32.362"
"18","downstream","9.0","318.289","32.354"
"18","downstream","10.0","333.246","32.345"
"18","downstream","11.0","347.53","32.336"
"18","downstream","12.0","361.086","32.327"
"18","downstream","13.0","374.143","32.319"
"18","downstream","14.0","386.844","32.31"
"18","downstream","15.0","398.828","32.301"
"18","downstream","16.0","410.319","32.292"
"18","downstream","17.0","420.958","32.284"
"18","downstream","18.0","431.044","32.275"
"18","downstream","19.0","440.432","32.266"
"18","downstream","20.0","449.088","32.257"
"18","downstream","21.0","457.176","32.249"
"18","downstream","22.0","464.773","32.24"
"18","downstream","23.0","473.876","32.229"
"18","downstream","24.0","481.151","32.217"
"18","downstream","25.0","487.434","32.206"
"18","downstream","26.0","493.179","32.195"
"18","downstream","27.0","498.22","32.184"
"18","downstream","28.0","502.898","32.173"
"18","downstream","29.0","507.005","32.161"
"18","downstream","30.0","510.845","32.15"
"18","downstream","31.0","514.186","32.139"
"18","downstream","32.0","517.314","32.127"
"18","downstream","33.0","519.98","32.116"
"18","downstream","34.0","522.473","32.105"
"18","downstream","35.0","524.556","32.094"
"18","downstream","36.0","526.491","32.083"
"18","downstream","37.0","528.124","32.071"
"18","downstream","38.0","529.427","32.06"
"18","downstream","39.0","530.624","32.049"
"18","downstream","40.0","531.475","32.037"
"18","downstream","41.0","532.236","32.026"
"18","downstream","42.0","532.677","32.015"
"18","downstream","43.0","533.045","32.004"
"18","downstream","44.0","533.112","31.993"
"18","downstream","45.0","533.125","31.981"
"18","downstream","46.0","532.859","31.97"
"18","downstream","47.0","531.907","31.96"
"18","downstream","48.0","531.178","31.949"
"18","downstream","49.0","530.442","31.939"
"18","downstream","50.0","529.499","31.928"
"18","downstream","51.0","528.509","31.918"
"18","downstream","52.0","527.453","31.908"
"18","downstream","53.0","526.344","31.897"
"18","downstream","54.0","525.195","31.887"
"18","downstream","55.0","524.071","31.876"
"18","downstream","56.0","522.804","31.866"
"18","downstream","57.0","521.543","31.855"
"18","downstream","58.0","520.259","31.845"
"18","downstream","59.0","518.956","31.835"
"18","downstream","60.0","517.63","31.824"
"18","downstream","61.0","516.353","31.814"
"18","downstream","62.0","514.94","31.803"
"18","downstream","63.0","513.54","31.793"
"18","downstream","64.0","512.123","31.783"
"18","downstream","65.0","510.69","31.772"
"18","downstream","66.0","509.249","31.762"
"18","downstream","67.0","507.854","31.751"
"18","downstream","68.0","506.341","31.741"
"18","downstream","69.0","504.846","31.73"
