"section_id","time_hours","water_level_m","discharge_m3s"
"1","0.0","32.3","1.0"
"1","1.0","33.113","35.05"
"1","2.0","33.222","34.53"
"1","3.0","33.31","34.02"
"1","4.0","33.38","33.5"
"1","5.0","33.438","32.98"
"1","6.0","33.485","32.47"
"1","7.0","33.522","31.95"
"1","8.0","33.55","31.43"
"1","9.0","33.573","30.92"
"1","10.0","33.589","30.4"
"1","11.0","33.601","29.88"
"1","12.0","33.61","29.37"
"1","13.0","33.617","28.85"
"1","14.0","33.621","28.33"
"1","15.0","33.624","27.82"
"1","16.0","33.626","27.3"
"1","17.0","33.627","26.78"
"1","18.0","33.626","26.27"
"1","19.0","33.623","25.75"
"1","20.0","33.619","25.23"
"1","21.0","33.613","24.72"
"1","22.0","33.605","24.2"
"1","23.0","33.598","23.83"
"1","24.0","33.59","23.47"
"1","25.0","33.582","23.1"
"1","26.0","33.573","22.73"
"1","27.0","33.563","22.37"
"1","28.0","33.552","22.0"
"1","29.0","33.541","21.63"
"1","30.0","33.529","21.27"
"1","31.0","33.516","20.9"
"1","32.0","33.502","20.53"
"1","33.0","33.488","20.17"
"1","34.0","33.473","19.8"
"1","35.0","33.458","19.43"
"1","36.0","33.441","19.07"
"1","37.0","33.425","18.7"
"1","38.0","33.407","18.33"
"1","39.0","33.39","17.97"
"1","40.0","33.371","17.6"
"1","41.0","33.352","17.23"
"1","42.0","33.333","16.87"
"1","43.0","33.313","16.5"
"1","44.0","33.292","16.13"
"1","45.0","33.272","15.77"
"1","46.0","33.25","15.4"
"1","47.0","33.231","15.24"
"1","48.0","33.214","15.08"
"1","49.0","33.197","14.93"
"1","50.0","33.18","14.77"
"1","51.0","33.165","14.61"
"1","52.0","33.15","14.45"
"1","53.0","33.136","14.29"
"1","54.0","33.121","14.13"
"1","55.0","33.108","13.97"
"1","56.0","33.094","13.82"
"1","57.0","33.081","13.66"
"1","58.0","33.067","13.5"
"1","59.0","33.054","13.34"
"1","60.0","33.041","13.18"
"1","61.0","33.028","13.03"
"1","62.0","33.015","12.87"
"1","63.0","33.002","12.71"
"1","64.0","32.989","12.55"
"1","65.0","32.976","12.39"
"1","66.0","32.963","12.23"
"1","67.0","32.95","12.07"
"1","68.0","32.937","11.92"
"1","69.0","32.924","11.76"
"1","70.0","32.911","11.6"
"1","71.0","32.899","11.49"
"2","0.0","32.233","1.0"
"2","1.0","32.836","35.489"
"2","2.0","33.035","33.683"
"2","3.0","33.158","33.47"
"2","4.0","33.25","33.056"
"2","5.0","33.323","32.616"
"2","6.0","33.382","32.179"
"2","7.0","33.428","31.722"
"2","8.0","33.464","31.253"
"2","9.0","33.492","30.785"
"2","10.0","33.513","30.299"
"2","11.0","33.529","29.804"
"2","12.0","33.542","29.31"
"2","13.0","33.552","28.806"
"2","14.0","33.559","28.299"
"2","15.0","33.565","27.795"
"2","16.0","33.569","27.284"
"2","17.0","33.572","26.774"
"2","18.0","33.573","26.274"
"2","19.0","33.572","25.766"
"2","20.0","33.57","25.257"
"2","21.0","33.566","24.757"
"2","22.0","33.559","24.248"
"2","23.0","33.553","23.874"
"2","24.0","33.546","23.517"
"2","25.0","33.539","23.152"
"2","26.0","33.53","22.787"
"2","27.0","33.521","22.431"
"2","28.0","33.511","22.067"
"2","29.0","33.501","21.702"
"2","30.0","33.489","21.345"
"2","31.0","33.477","20.98"
"2","32.0","33.464","20.615"
"2","33.0","33.45","20.258"
"2","34.0","33.436","19.893"
"2","35.0","33.421","19.527"
"2","36.0","33.405","19.17"
"2","37.0","33.389","18.804"
"2","38.0","33.372","18.437"
"2","39.0","33.355","18.079"
"2","40.0","33.337","17.713"
"2","41.0","33.318","17.346"
"2","42.0","33.299","16.988"
"2","43.0","33.28","16.621"
"2","44.0","33.26","16.254"
"2","45.0","33.239","15.895"
"2","46.0","33.218","15.528"
"2","47.0","33.199","15.35"
"2","48.0","33.181","15.185"
"2","49.0","33.164","15.029"
"2","50.0","33.147","14.864"
"2","51.0","33.132","14.7"
"2","52.0","33.117","14.537"
"2","53.0","33.102","14.374"
"2","54.0","33.088","14.213"
"2","55.0","33.074","14.051"
"2","56.0","33.061","13.899"
"2","57.0","33.047","13.739"
"2","58.0","33.034","13.578"
"2","59.0","33.021","13.417"
"2","60.0","33.007","13.257"
"2","61.0","32.994","13.105"
"2","62.0","32.981","12.945"
"2","63.0","32.969","12.785"
"2","64.0","32.956","12.625"
"2","65.0","32.943","12.465"
"2","66.0","32.93","12.305"
"2","67.0","32.917","12.145"
"2","68.0","32.904","11.994"
"2","69.0","32.891","11.835"
"2","70.0","32.878","11.675"
"2","71.0","32.866","11.56"
"2_sec2_0","0.0","32.233","2.0"
"2_sec2_0","1.0","32.836","35.489"
"2_sec2_0","2.0","33.035","33.683"
"2_sec2_0","3.0","33.158","33.47"
"2_sec2_0","4.0","33.25","33.056"
"2_sec2_0","5.0","33.323","32.616"
"2_sec2_0","6.0","33.382","32.179"
"2_sec2_0","7.0","33.428","31.722"
"2_sec2_0","8.0","33.464","31.253"
"2_sec2_0","9.0","33.492","30.785"
"2_sec2_0","10.0","33.513","30.299"
"2_sec2_0","11.0","33.529","29.804"
"2_sec2_0","12.0","33.542","29.31"
"2_sec2_0","13.0","33.552","28.806"
"2_sec2_0","14.0","33.559","28.299"
"2_sec2_0","15.0","33.565","27.795"
"2_sec2_0","16.0","33.569","27.284"
"2_sec2_0","17.0","33.572","26.774"
"2_sec2_0","18.0","33.573","26.274"
"2_sec2_0","19.0","33.572","25.766"
"2_sec2_0","20.0","33.57","25.257"
"2_sec2_0","21.0","33.566","24.757"
"2_sec2_0","22.0","33.559","24.248"
"2_sec2_0","23.0","33.553","23.874"
"2_sec2_0","24.0","33.546","23.517"
"2_sec2_0","25.0","33.539","23.152"
"2_sec2_0","26.0","33.53","22.787"
"2_sec2_0","27.0","33.521","22.431"
"2_sec2_0","28.0","33.511","22.067"
"2_sec2_0","29.0","33.501","21.702"
"2_sec2_0","30.0","33.489","21.345"
"2_sec2_0","31.0","33.477","20.98"
"2_sec2_0","32.0","33.464","20.615"
"2_sec2_0","33.0","33.45","20.258"
"2_sec2_0","34.0","33.436","19.893"
"2_sec2_0","35.0","33.421","19.527"
"2_sec2_0","36.0","33.405","19.17"
"2_sec2_0","37.0","33.389","18.804"
