"reach_name","section_id","distance_to_next_m","manning_n"
"sec1","1","600.0","0.045"
"sec1","2","0.0","0.045"
"sec10","11","1140.0","0.029"
"sec10","105","1060.0","0.029"
"sec10","106","1850.0","0.029"
"sec10","107","1090.0","0.029"
"sec10","108","1020.0","0.029"
"sec10","109","1090.0","0.029"
"sec10","110","1030.0","0.029"
"sec10","111","1580.0","0.029"
"sec10","112","1300.0","0.029"
"sec10","113","1010.0","0.029"
"sec10","114","1140.0","0.029"
"sec10","115","1340.0","0.029"
"sec10","116","1180.0","0.029"
"sec10","117","1430.0","0.029"
"sec10","118","1100.0","0.029"
"sec10","119","1160.0","0.029"
"sec10","120","1040.0","0.029"
"sec10","12","0.0","0.029"
"sec11","12","600.0","0.029"
"sec11","10","0.0","0.029"
"sec12","10","1900.0","0.029"
"sec12","121","1400.0","0.029"
"sec12","122","1540.0","0.029"
"sec12","123","1870.0","0.029"
"sec12","124","1750.0","0.029"
"sec12","125","1640.0","0.029"
"sec12","126","1490.0","0.029"
"sec12","127","1350.0","0.029"
"sec12","128","1580.0","0.029"
"sec12","129","1770.0","0.029"
"sec12","130","1440.0","0.029"
"sec12","13","0.0","0.029"
"sec13","13","1950.0","0.035"
"sec13","131","1370.0","0.035"
"sec13","132","1450.0","0.035"
"sec13","133","1150.0","0.035"
"sec13","134","1070.0","0.035"
"sec13","135","1900.0","0.035"
"sec13","136","1030.0","0.035"
"sec13","137","1310.0","0.035"
"sec13","138","1970.0","0.035"
"sec13","139","1150.0","0.035"
"sec13","140","1750.0","0.035"
"sec13","141","1170.0","0.035"
"sec13","4","0.0","0.035"
"sec14","7","1478.0","0.025"
"sec14","142","1667.0","0.025"
"sec14","143","1885.0","0.025"
"sec14","144","2110.0","0.025"
"sec14","145","2027.0","0.025"
"sec14","14","0.0","0.025"
"sec15","14","1490.0","0.04"
"sec15","146","1450.0","0.04"
"sec15","147","1260.0","0.04"
"sec15","148","1420.0","0.04"
"sec15","149","1400.0","0.04"
"sec15","150","1580.0","0.04"
"sec15","151","1420.0","0.04"
"sec15","152","1680.0","0.04"
"sec15","153","1570.0","0.04"
"sec15","154","1050.0","0.04"
"sec15","155","1030.0","0.04"
"sec15","156","1380.0","0.04"
"sec15","157","2170.0","0.04"
"sec15","158","1320.0","0.04"
"sec15","159","1490.0","0.04"
"sec15","160","1560.0","0.04"
"sec15","161","1400.0","0.04"
"sec15","15","0.0","0.04"
"sec16","14","600.0","0.028"
"sec16","16","0.0","0.028"
"sec17","16","1410.0","0.027"
"sec17","162","1300.0","0.027"
"sec17","163","1230.0","0.027"
"sec17","164","1070.0","0.027"
"sec17","165","1150.0","0.027"
"sec17","166","1080.0","0.027"
"sec17","167","1530.0","0.027"
"sec17","168","1000.0","0.027"
"sec17","169","1520.0","0.027"
"sec17","170","1200.0","0.027"
"sec17","171","1030.0","0.027"
"sec17","172","1860.0","0.027"
"sec17","173","1270.0","0.027"
"sec17","174","1920.0","0.027"
"sec17","175","1340.0","0.027"
"sec17","176","1540.0","0.027"
"sec17","177","1010.0","0.027"
"sec17","178","1180.0","0.027"
"sec17","179","1530.0","0.027"
"sec17","17","0.0","0.027"
"sec18","17","1000.0","0.028"
